source_id,source_sheet,status,parser_claim,reviewed_by,reviewed_at,note,definitions_reviewed,units_reviewed,timing_reviewed,hierarchy_reviewed,methodology_reviewed,evidence_uri
economic_annex,Cuadro 51a,provisional,none,unreviewed,,"Detailed merchandise trade. The seven-column interannual comparison block after the monthly axis is bounded out of the period axis (schema 14) and classified as report layout in config/reconciliation_cell_rules.csv, so it produces no observations. Trade direction, classification scheme, customs regime and product are now explicit dimensions in series_dimension, derived from the published table title and row label, and the valuation basis is derived as FOB from the title; all four are exposed through v_mart_trade_all. What remains unreviewed is what remains unreviewed everywhere: the product names are the publisher's own and are not mapped to HS or SITC, and no economist has checked the definitions, coverage or period conventions.",,,,,,
economic_annex,Cuadro 51b,provisional,none,unreviewed,,"Detailed merchandise trade. The seven-column interannual comparison block after the monthly axis is bounded out of the period axis (schema 14) and classified as report layout in config/reconciliation_cell_rules.csv, so it produces no observations. Trade direction, classification scheme, customs regime and product are now explicit dimensions in series_dimension, derived from the published table title and row label, and the valuation basis is derived as FOB from the title; all four are exposed through v_mart_trade_all. What remains unreviewed is what remains unreviewed everywhere: the product names are the publisher's own and are not mapped to HS or SITC, and no economist has checked the definitions, coverage or period conventions.",,,,,,
economic_annex,Cuadro 52a,provisional,none,unreviewed,,"Detailed merchandise trade. The seven-column interannual comparison block after the monthly axis is bounded out of the period axis (schema 14) and classified as report layout in config/reconciliation_cell_rules.csv, so it produces no observations. Trade direction, classification scheme, customs regime and product are now explicit dimensions in series_dimension, derived from the published table title and row label, and the valuation basis is derived as FOB from the title; all four are exposed through v_mart_trade_all. What remains unreviewed is what remains unreviewed everywhere: the product names are the publisher's own and are not mapped to HS or SITC, and no economist has checked the definitions, coverage or period conventions.",,,,,,
economic_annex,Cuadro 52b,provisional,none,unreviewed,,"Detailed merchandise trade. The seven-column interannual comparison block after the monthly axis is bounded out of the period axis (schema 14) and classified as report layout in config/reconciliation_cell_rules.csv, so it produces no observations. Trade direction, classification scheme, customs regime and product are now explicit dimensions in series_dimension, derived from the published table title and row label, and the valuation basis is derived as FOB from the title; all four are exposed through v_mart_trade_all. What remains unreviewed is what remains unreviewed everywhere: the product names are the publisher's own and are not mapped to HS or SITC, and no economist has checked the definitions, coverage or period conventions.",,,,,,
economic_annex,Cuadro 53a,provisional,none,unreviewed,,"Detailed merchandise trade. The seven-column interannual comparison block after the monthly axis is bounded out of the period axis (schema 14) and classified as report layout in config/reconciliation_cell_rules.csv, so it produces no observations. Trade direction, classification scheme, customs regime and product are now explicit dimensions in series_dimension, derived from the published table title and row label, and the valuation basis is derived as FOB from the title; all four are exposed through v_mart_trade_all. What remains unreviewed is what remains unreviewed everywhere: the product names are the publisher's own and are not mapped to HS or SITC, and no economist has checked the definitions, coverage or period conventions.",,,,,,
economic_annex,Cuadro 53b,provisional,none,unreviewed,,"Detailed merchandise trade. The seven-column interannual comparison block after the monthly axis is bounded out of the period axis (schema 14) and classified as report layout in config/reconciliation_cell_rules.csv, so it produces no observations. Trade direction, classification scheme, customs regime and product are now explicit dimensions in series_dimension, derived from the published table title and row label, and the valuation basis is derived as FOB from the title; all four are exposed through v_mart_trade_all. What remains unreviewed is what remains unreviewed everywhere: the product names are the publisher's own and are not mapped to HS or SITC, and no economist has checked the definitions, coverage or period conventions.",,,,,,
eve,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
exchange_houses,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
exchange_rates,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
financial,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
financial_indicators,*,provisional,none,unreviewed,,"The source publishes two different measures over one shared portfolio taxonomy: sheets 4 and 7 are outstanding balances and every other sheet is an interest rate, so the same row label recurs across both. The measure is now derived from the published table name and carried in series_dimension with the wording it rests on, and the unit derivation no longer reads the worksheet's navigation link as the word 'indice' nor a product name as a headcount. Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done. Sheet 8 publishes no table name, so its measure stays underived.",,,,,,
fx_operations,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
icc,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
insurance_annex,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
interbank_market,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
interbank_market,Datos (+ de 1 día),provisional,none,unreviewed,,"All previously unread cells are now read. Three defects, not one. 551 cells are the whole REPO Tripartito block (columns 15-20), a thinly traded instrument that clears the published header test but not a 5% density floor: it traded on 95 of 3,653 days. 54 are genuine continuation rows, where a day with several operations is published as one dated aggregate followed by the individual operations; those are emitted as events with the trade date inherited and a positional operation sequence, because the publisher does not number them. The remaining 514 are three published blocks the column-recovery window could not reach because it ran only between the first and last confident data column: the Call Money Market (PYG) block in columns 3-8, which lies before the first, and the Call Money Market (USD) Plazo in column 26 and the Facilidad de Crédito Especial block in columns 28-30, which lie after the last. All are named on row 18 and detailed on row 19. No economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
liquidity_facility,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
lrm_auctions,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
payments,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
payments,CCC 02,provisional,none,unreviewed,,"The participant that reported in one month only is now read: a column is admitted on the header the publisher printed for it rather than on how many values it holds. Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
payments,SIPAP_12,provisional,none,unreviewed,,"Column 18 is now read. The publisher opened the Transferencias con QR (H) block in the final published month and printed no Cantidad/Importe Destino sub-header row for it, so neither of its two columns carries a sub-header of its own. The merge Q2:R2 is the publisher stating that the two columns are one block, and it is what separates this case from CUADRO 35 column 12, which is in no merge and stays out of scope. The two QR columns share the group name and are separated by the positional-identity machinery rather than by a label that is not theirs. The published footnote identity confirms the reading: on row 54 the five component Cantidad columns sum to the published TOTAL SPI 63,735,362 and the five Importe columns to 21,232,517,839,313, both exactly. No economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
securities_trades,*,provisional,none,unreviewed,,"Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
direct_investment,Cuadro 5,provisional,none,unreviewed,,"Read in full since schema 27. The table publishes its year and quarter labels on one header row -- row 11 reads 1995, I, II, III, IV, 1996, I, ... across 147 columns -- while the row above names the year each quarter block belongs to. Reading row 11 alone dated every observation a year early, so the two header rows are now read together and the publisher's own arithmetic guards the mapping: on a stock table the fourth quarter of a block equals the annual column that closes it, and ALEMANIA's 538,145.747 sits in both. Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
direct_investment,Cuadro 7,provisional,none,unreviewed,,"Read in full since schema 27. The table publishes its year and quarter labels on one header row -- row 11 reads 1995, I, II, III, IV, 1996, I, ... across 147 columns -- while the row above names the year each quarter block belongs to. Reading row 11 alone dated every observation a year early, so the two header rows are now read together and the publisher's own arithmetic guards the mapping: on a stock table the fourth quarter of a block equals the annual column that closes it, and ALEMANIA's 538,145.747 sits in both. Parses cleanly and passes the automated release gates; no economic review of definitions, units, period conventions or hierarchy has been done.",,,,,,
