schema_name,object_name,object_type,public_scope,carries_release_boundary,reason,reviewed_by,reviewed_at
main,v_banks_credito_actividad_documented,view,current,FALSE,"Publisher-shaped panel joined to reviewed institution, currency and hierarchy dimensions.",juan.manuel.gonzalez,2026-08-31
main,v_banks_credito_sector_documented,view,current,FALSE,"Publisher-shaped panel joined to reviewed institution, currency and hierarchy dimensions.",juan.manuel.gonzalez,2026-08-31
main,v_banks_eeff_documented,view,current,FALSE,"Publisher-shaped panel joined to reviewed institution, currency and hierarchy dimensions.",juan.manuel.gonzalez,2026-08-31
main,v_banks_ratios_documented,view,current,FALSE,"Publisher-shaped panel joined to reviewed institution, currency and hierarchy dimensions.",juan.manuel.gonzalez,2026-08-31
main,v_bond_curves_latest,view,current,TRUE,Published source surface at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_canonical_observations,view,current,FALSE,Observations of reviewed canonical series.,juan.manuel.gonzalez,2026-08-31
main,v_canonical_series_catalogue,view,current,FALSE,Catalogue of reviewed canonical series.,juan.manuel.gonzalez,2026-08-31
main,v_concept_latest,view,current,FALSE,Reviewed cross-source concepts at their newest accepted value.,juan.manuel.gonzalez,2026-08-31
main,v_credit_survey_latest,view,current,FALSE,Published source surface at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_documented_series_latest_snapshot,view,current,TRUE,The documented-parser surface at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_economic_annex_latest,view,current,FALSE,Published source surface at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_exchange_houses_latest,view,current,FALSE,Published source surface at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_financial_carteras_documented,view,current,FALSE,"Publisher-shaped panel joined to reviewed institution, currency and hierarchy dimensions.",juan.manuel.gonzalez,2026-08-31
main,v_financial_credito_actividad_documented,view,current,FALSE,"Publisher-shaped panel joined to reviewed institution, currency and hierarchy dimensions.",juan.manuel.gonzalez,2026-08-31
main,v_financial_credito_sector_documented,view,current,FALSE,"Publisher-shaped panel joined to reviewed institution, currency and hierarchy dimensions.",juan.manuel.gonzalez,2026-08-31
main,v_financial_eeff_documented,view,current,FALSE,"Publisher-shaped panel joined to reviewed institution, currency and hierarchy dimensions.",juan.manuel.gonzalez,2026-08-31
main,v_financial_ratios_documented,view,current,FALSE,"Publisher-shaped panel joined to reviewed institution, currency and hierarchy dimensions.",juan.manuel.gonzalez,2026-08-31
main,v_fx_operations_annual,view,current,TRUE,Annual foreign-exchange operations at the accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_canales_person,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_carteras,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_categoria_creditos,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_credito_actividad,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_credito_sector,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_eeff,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_inhab,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_ratios,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_tc,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_canales_person,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_carteras,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_categoria_creditos,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_credito_actividad,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_credito_sector,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_eeff,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_ratios,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_tc,view,current,TRUE,Publisher-shaped panel at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_payments_latest,view,current,FALSE,Published source surface at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_publisher_statement_latest,view,current,TRUE,"What the publisher currently says, projections included. Not an estimation sample.",juan.manuel.gonzalez,2026-08-31
main,v_securities_daily_activity,view,current,FALSE,Daily securities activity aggregated from the accepted transaction surface.,juan.manuel.gonzalez,2026-08-31
main,v_securities_transactions_latest,view,current,TRUE,Published source surface at its newest accepted vintage.,juan.manuel.gonzalez,2026-08-31
main,v_series_catalogue,view,current,FALSE,"Catalogue of the published series, with coverage.",juan.manuel.gonzalez,2026-08-31
main,v_series_latest,view,current,FALSE,"The research default: the newest accepted value per series and period, realized observations only.",juan.manuel.gonzalez,2026-08-31
main,v_series_latest_observed,view,current,FALSE,"Deprecated alias of v_series_latest, retained so schema-27 queries keep working.",juan.manuel.gonzalez,2026-08-31
main,v_series_observations,view,current,TRUE,The filtered base relation every current observation view descends from.,juan.manuel.gonzalez,2026-08-31
marts,v_catalogue_by_grain,view,current,FALSE,Catalogue of the published series of one grain.,juan.manuel.gonzalez,2026-08-31
marts,v_catalogue_curve_panel,view,current,FALSE,Catalogue of the published series of one grain.,juan.manuel.gonzalez,2026-08-31
marts,v_catalogue_entity_panel,view,current,FALSE,Catalogue of the published series of one grain.,juan.manuel.gonzalez,2026-08-31
marts,v_catalogue_event,view,current,FALSE,Catalogue of the published series of one grain.,juan.manuel.gonzalez,2026-08-31
marts,v_catalogue_scalar_series,view,current,FALSE,Catalogue of the published series of one grain.,juan.manuel.gonzalez,2026-08-31
marts,v_mart_external_accounts,view,current,TRUE,Validated domain mart. Empty until a worksheet is economically reviewed.,juan.manuel.gonzalez,2026-08-31
marts,v_mart_fiscal,view,current,TRUE,Validated domain mart. Empty until a worksheet is economically reviewed.,juan.manuel.gonzalez,2026-08-31
marts,v_mart_money_credit,view,current,TRUE,Validated domain mart. Empty until a worksheet is economically reviewed.,juan.manuel.gonzalez,2026-08-31
marts,v_mart_national_accounts_activity,view,current,TRUE,Validated domain mart. Empty until a worksheet is economically reviewed.,juan.manuel.gonzalez,2026-08-31
marts,v_mart_prices,view,current,TRUE,Validated domain mart. Empty until a worksheet is economically reviewed.,juan.manuel.gonzalez,2026-08-31
marts,v_mart_reserves_fx,view,current,TRUE,Validated domain mart. Empty until a worksheet is economically reviewed.,juan.manuel.gonzalez,2026-08-31
marts,v_mart_trade,view,current,TRUE,Validated domain mart. Empty until a worksheet is economically reviewed.,juan.manuel.gonzalez,2026-08-31
marts,v_observation_source_behaviour,view,current,TRUE,"Per-observation workbook provenance: whether the value was read from a row the publisher hid, and how many formulas its worksheet carries.",juan.manuel.gonzalez,2026-08-31
marts,v_research_series,view,current,FALSE,The reviewed research surface. Empty by design until series pass economic review.,juan.manuel.gonzalez,2026-08-31
marts,v_series_missingness,view,current,TRUE,"Expected periods with no observation, and the reason, for accepted vintages.",juan.manuel.gonzalez,2026-08-31
marts,v_series_projections,view,current,FALSE,The after-publication rows on their own.,juan.manuel.gonzalez,2026-08-31
main,report_cells,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,resolve_series_id,macro,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,resolve_series_ids,macro,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_reconciliation_unclassified,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_report_cells_a1,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_series_id_resolution,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_series_id_scalar_resolution,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_series_migration_summary,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_source_provenance,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_source_region_completeness,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_source_region_unreviewed,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_table_reconciliation,view,diagnostic,FALSE,"Evidence about how the database was built -- cells, reconciliation, provenance, identity migration -- rather than published economic data.",juan.manuel.gonzalez,2026-08-31
main,v_canonical_membership,view,reference,FALSE,"Describes series, dimensions or their review status. Carries no observation and therefore no release boundary.",juan.manuel.gonzalez,2026-08-31
main,v_documented_series_catalogue,view,reference,FALSE,"Describes series, dimensions or their review status. Carries no observation and therefore no release boundary.",juan.manuel.gonzalez,2026-08-31
main,v_series_concept_catalogue,view,reference,FALSE,"Describes series, dimensions or their review status. Carries no observation and therefore no release boundary.",juan.manuel.gonzalez,2026-08-31
main,v_series_dimension_evidence,view,reference,FALSE,"Describes series, dimensions or their review status. Carries no observation and therefore no release boundary.",juan.manuel.gonzalez,2026-08-31
main,v_series_dimensions,view,reference,FALSE,"Describes series, dimensions or their review status. Carries no observation and therefore no release boundary.",juan.manuel.gonzalez,2026-08-31
main,v_series_domain,view,reference,FALSE,"Describes series, dimensions or their review status. Carries no observation and therefore no release boundary.",juan.manuel.gonzalez,2026-08-31
main,v_series_measurement,view,reference,FALSE,"Describes series, dimensions or their review status. Carries no observation and therefore no release boundary.",juan.manuel.gonzalez,2026-08-31
main,v_series_semantic_evidence,view,reference,FALSE,"Describes series, dimensions or their review status. Carries no observation and therefore no release boundary.",juan.manuel.gonzalez,2026-08-31
main,v_series_table_status,view,reference,FALSE,"Describes series, dimensions or their review status. Carries no observation and therefore no release boundary.",juan.manuel.gonzalez,2026-08-31
main,v_series_review,view,reference,FALSE,"The economic review of a series as an economist recorded it in config/series_review.csv: definition and evidence URI, timing and reference-period convention, stock/flow, unit, scale, currency, valuation, nominal/real, seasonal adjustment, hierarchy role and comparability. Reference rather than current: it describes series, not observations, and carries no vintage.",juan.manuel.gonzalez,2026-09-01
main,v_series_observations_history,view,history,TRUE,"The history base relation the as-of macros descend from: every vintage belonging to any accepted data release, which is the population a point-in-time query ranks over. Distinct from v_series_observations, which carries the active-pointer boundary and answers what is published now.",juan.manuel.gonzalez,2026-09-02
main,v_series_research,view,current,FALSE,"The research extraction interface: one relation carrying the label, published table title, normalized period bounds, unit, scale, currency and review status beside every value, so interpreting a number does not require joining a staging table. Descends from v_series_observations, which carries the boundary.",juan.manuel.gonzalez,2026-09-05
main,v_series_research_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-09-05
main,v_series_titles,view,reference,FALSE,"The published table title resolved to one row per series, with the count of distinct titles across vintages. Describes series rather than observations and therefore carries no release boundary.",juan.manuel.gonzalez,2026-09-05
